entryId,idNumber,nameEn,nameTh,listType,listedDate
BL-001,1103700111111,SOMSAK TESTASIRI,สมศักดิ์ เทสตะศิริ,SANCTION,2024-11-02
BL-002,,WICHAI SAE-TESTA,วิชัย แซ่เทสต์,FRAUD,2025-01-15
BL-003,3101200222223,,,SANCTION,2023-06-30
BL-004,,VICHAI SAETESTA,วิชัย แซ่เทสต์,FRAUD,2025-01-15
BL-005,,NARONGSAK T.,ณรงค์ศักดิ์,PEP,2022-09-01
BL-006,1409900333333,PRANEE TESTACHAI,ปราณี เทสตะชัย,FRAUD,2025-08-20
BL-007,,SOMPORN JAROENTEST,สมพร เจริญเทสต์,SANCTION,2024-02-02
BL-008,,SOMPORN CHAROENTEST,สมพร เจริญเทสต์,SANCTION,2024-02-02
BL-009,5501400444444,,,FRAUD,2026-01-10
BL-010,,KITTIPONG TESTADET,กิตติพงษ์ เทสตะเดช,PEP,2023-12-12
BL-011,,THANAWAT TESTAPHOL,,PEP,2022-02-27
BL-012,3684159076510,KANOKWAN TESTSAWAT,,FRAUD,2025-07-03
BL-013,,WORAWUT TESTAPHOL,,FRAUD,2026-02-08
BL-014,1183699061993,ANUCHA TESTSUWAN,,FRAUD,2026-03-10
BL-015,2283415083434,ORAWAN TESTWONG,,FRAUD,2022-10-19
BL-016,3622660018229,SIRIPORN TESTSAWAT,,PEP,2023-08-22
BL-017,1669699069399,RATCHANEE TESTMANEE,,FRAUD,2023-12-25
BL-018,,SIRIPORN TESTMANEE,,PEP,2025-06-24
BL-019,5225624064804,THANAWAT TESTAYA,,SANCTION,2023-08-14
BL-020,,CHAIYA TESTAKUL,,PEP,2026-06-11
BL-021,3884916069795,SUPAPORN TESTALIM,,FRAUD,2024-08-23
BL-022,1199417094820,SIRIPORN TESTWONG,,SANCTION,2024-12-13
BL-023,2612572056591,THANAWAT TESTAPARIT,,FRAUD,2025-01-07
BL-024,1341507061242,NATTHAPONG TESTALIM,,SANCTION,2022-03-15
BL-025,4527938066429,ORAWAN TESTASUK,,SANCTION,2025-06-22
